keys,en
TR_GEN_CYRUS,"General Cyrus"
TR_COM_BLAKE,"Commando Blake"
TR_PREZ_GIDEON,"President Gideon"
TR_WAR_GRIM,"Warlord Grim"
TR_PRI_TYBALT,"Prince Tybalt"
TR_ACT_PILOT,"Pilot"
TR_ACT_OPERATOR,"Operator"
TR_ACT_GUARD,"Guard"
TR_ACT_SCOUT,"Scout"
TR_NOB_SIDNEY,"Noble Sidney"
TR_ACT_MESSENGER,"Messenger"
TR_GENT_ARCHI,"Gentleman Archibald"
TR_LORD_DAWSON,"Lord Dawson"
TR_ACT_SERGEANT,"Sergeant"
TR_ACT_SOLDIER,"Soldier"
TR_ACT_OFFICER,"Officer"
TR_ACT_KNIGHT,"Knight"
TR_CAP_CLAUDE,"Captain Claude"
