keys,pl
TR_GEN_CYRUS,"Generał Cyrus"
TR_COM_BLAKE,"Komando Blake"
TR_PREZ_GIDEON,"Prezydent Gideon"
TR_WAR_GRIM,"Watażka Grim"
TR_PRI_TYBALT,"Książe Tybalt"
TR_ACT_PILOT,"Pilot"
TR_ACT_OPERATOR,"Operator"
TR_ACT_GUARD,"Strażnik"
TR_ACT_SCOUT,"Zwiadowca"
TR_NOB_SIDNEY,"Szlachcic Sidney"
TR_ACT_MESSENGER,"Posłaniec"
TR_GENT_ARCHI,"Dżentelmen Archibald"
TR_LORD_DAWSON,"Lord Dawson"
TR_ACT_SERGEANT,"Śierżant"
TR_ACT_SOLDIER,"Żołnierz"
TR_ACT_OFFICER,"Oficer"
TR_ACT_KNIGHT,"Rycerz"
TR_CAP_CLAUDE,"Kapitan Claude"
